timestamp,location,tweet_text,username,all_hashtags,followers_count
2021-12-18 10:16:55+00:00,Glocal // SoFL,b'How Will the #COVID #Pills Change the Pandemic? https://t.co/JcKtrHFO43 via @NewYorker',b'DrFerdowsi',"['COVID', 'Pills']",9694
2021-12-18 10:16:39+00:00,"Dublin, Ireland",b'I appreciate the work put in by all experts during pandemic but as we learn more about #covid we should be listening to pertinent experts such as  @celoscher &amp; @Orla_Hegarty - can we not add these people into #NPHET? And if not why not? #womeninSTEM @DonnellyStephen',b'artboxhill',"['covid', 'NPHET', 'womeninSTEM']",1799
2021-12-18 10:16:30+00:00,"Winchester, UK",b'fantastic Christmas #Covid who are you backing? #COVID19 #Omicron  thanks @TodayFM https://t.co/e8zxky9Lpq',b'SunilBhanot2',"['Covid', 'COVID19', 'Omicron']",1344
2021-12-18 10:16:17+00:00,Istanbul / Sydney,b'#BigPharma Prevented #Hydroxychloroquine #Ivermectin to sell #vaccines https://t.co/1egBKWurds #Pfizer #Covid @aDilipak @5gvirusnewss @ProfSFindik @drumitaktas @DrYavuzDizdar @drbulentpolat @OpDrBilgehan',b'SelcukAskin',"['BigPharma', 'Hydroxychloroquine', 'Ivermectin', 'vaccines', 'Pfizer', 'Covid']",204
2021-12-18 10:16:11+00:00,Transworld Consortium.,b'Because the festivities guarantee temporary immunity from #Covid  A sort of #Covid_19 Christmas Truce. https://t.co/mo1aY1SGBd',b'MarkHazard2020',"['Covid', 'Covid_19']",674
2021-12-18 10:15:58+00:00,Transworld Consortium.,b'@PoliticsForAlI @thetimes Because the festivities guarantee temporary immunity from #Covid  A sort of #Covid_19 Christmas Truce.',b'MarkHazard2020',"['Covid', 'Covid_19']",674
2021-12-18 10:15:53+00:00,,"b""TOP VIROLOGISTS SAY: \xe2\x80\x9cA proposal was leaked showing that #EcoHealth and the #Wuhan Institute of Virology were developing a pipeline for inserting #novelfurin cleavage sites.   #Covid 'possibly engineered and probably leaked from lab' https://t.co/aeDlk7Hopc""",b'gioianita',"['EcoHealth', 'Wuhan', 'novelfurin', 'Covid']",37
2021-12-18 10:15:30+00:00,United States,b'Shocking story of treatment denied. Family acts and saves life. #covid https://t.co/vLaXE72HfZ',b'wspickerman',['covid'],1563
2021-12-18 10:15:02+00:00,,"b'#covid vaccines inventor, Prof. MALONE, declaring that covid vaccines are deadly treatments. In short, you die if you take it! https://t.co/EfUqBc5Da4'",b'Sarhah12',['covid'],60
2021-12-18 10:14:50+00:00,London,"b""#France has got the hump again!  Who's been playing silly buggers, referring to the #COVID variant as OMacron?  https://t.co/qsXHUu5KSE""",b'KenBromfield1',"['France', 'COVID']",2835
